timestamp,open,high,low,close,volume
2026-05-21 09:15:00+05:30,81.25,91.1,71.05,71.6,1321255
2026-05-21 09:20:00+05:30,71.8,73.5,67.7,70.2,735215
2026-05-21 09:25:00+05:30,70.25,71.7,65.5,66.75,376805
2026-05-21 09:30:00+05:30,66.7,71.0,66.1,67.25,146315
2026-05-21 09:35:00+05:30,64.55,65.5,63.35,64.0,55770
2026-05-21 09:40:00+05:30,68.2,69.45,68.0,68.8,60580
2026-05-21 09:45:00+05:30,70.2,71.6,69.6,70.15,116740
2026-05-21 09:50:00+05:30,68.75,69.85,66.7,68.9,61230
2026-05-21 09:55:00+05:30,72.1,73.6,72.1,72.6,61945
2026-05-21 10:00:00+05:30,62.95,66.35,62.65,65.75,95550
2026-05-21 10:05:00+05:30,66.55,67.75,66.35,67.0,41210
2026-05-21 10:10:00+05:30,63.9,64.0,62.45,62.45,47125
2026-05-21 10:15:00+05:30,63.1,65.3,62.95,65.1,53885
2026-05-21 10:20:00+05:30,64.2,65.0,62.85,63.35,46020
2026-05-21 10:25:00+05:30,61.15,62.25,60.3,61.5,25155
2026-05-21 10:30:00+05:30,64.15,64.55,62.9,63.4,31395
2026-05-21 10:35:00+05:30,58.35,60.2,58.0,58.95,63440
