timestamp,open,high,low,close,volume
2026-05-19 09:15:00+05:30,12.0,12.0,3.25,8.45,15404415
2026-05-19 09:20:00+05:30,8.5,9.75,7.5,8.1,9164480
2026-05-19 09:25:00+05:30,8.0,9.4,7.55,8.4,7611695
2026-05-19 09:30:00+05:30,8.5,9.35,7.7,7.85,2048605
2026-05-19 09:35:00+05:30,5.1,5.2,4.85,4.95,2027675
2026-05-19 09:40:00+05:30,5.85,6.9,5.75,6.85,1965340
2026-05-19 09:45:00+05:30,7.45,7.8,6.1,6.4,2151890
2026-05-19 09:50:00+05:30,5.25,5.45,4.95,5.3,1188980
2026-05-19 09:55:00+05:30,4.25,4.3,4.0,4.1,1251510
2026-05-19 10:00:00+05:30,3.9,4.6,3.8,4.55,1504230
2026-05-19 10:05:00+05:30,4.3,5.1,4.2,5.1,1134835
2026-05-19 10:10:00+05:30,4.4,5.1,4.25,5.1,1093625
2026-05-19 10:15:00+05:30,6.1,6.9,5.9,6.7,1411670
2026-05-19 10:20:00+05:30,4.05,4.5,4.0,4.35,1176500
2026-05-19 10:25:00+05:30,4.45,4.8,4.25,4.7,972465
2026-05-19 10:30:00+05:30,5.2,5.4,4.7,4.7,1327625
