timestamp,open,high,low,close,volume
2026-05-18 09:15:00+05:30,60.0,71.85,33.75,34.2,9121580
2026-05-18 09:20:00+05:30,34.55,35.75,31.05,33.85,3594175
2026-05-18 09:25:00+05:30,34.05,34.35,30.6,31.05,1988220
2026-05-18 09:30:00+05:30,30.45,32.85,28.35,31.55,2948595
2026-05-18 09:35:00+05:30,31.45,32.7,25.7,26.9,2893930
2026-05-18 09:40:00+05:30,26.8,28.65,24.85,26.35,2913820
2026-05-18 09:45:00+05:30,26.45,26.85,23.45,23.75,2489435
2026-05-18 09:50:00+05:30,23.6,24.15,22.75,23.4,1201005
2026-05-18 09:55:00+05:30,21.9,23.05,20.85,22.85,2321735
2026-05-18 10:00:00+05:30,22.65,23.75,22.65,23.1,382590
2026-05-18 10:05:00+05:30,25.0,25.55,21.95,23.25,2639910
2026-05-18 10:10:00+05:30,23.25,25.8,22.95,24.4,1423110
2026-05-18 10:15:00+05:30,24.45,27.9,23.15,26.3,2531620
2026-05-18 10:20:00+05:30,26.1,27.4,24.5,25.7,2059720
2026-05-18 10:25:00+05:30,25.75,25.9,24.85,25.35,252395
2026-05-18 10:30:00+05:30,24.9,25.45,21.5,22.05,856895
2026-05-18 10:35:00+05:30,29.8,32.3,28.7,29.45,1897480
2026-05-18 10:40:00+05:30,31.0,32.1,29.25,31.3,650195
2026-05-18 10:45:00+05:30,27.15,27.75,25.7,26.95,469170
2026-05-18 10:50:00+05:30,25.35,27.3,25.25,27.2,558610
2026-05-18 10:55:00+05:30,32.3,33.95,31.9,33.85,780325
2026-05-18 11:00:00+05:30,34.9,35.55,32.85,33.0,758550
2026-05-18 11:05:00+05:30,32.15,35.4,32.15,34.85,449410
2026-05-18 11:10:00+05:30,37.05,37.45,35.65,36.4,449020
2026-05-18 11:15:00+05:30,35.95,37.1,34.5,36.9,365950
2026-05-18 11:20:00+05:30,41.0,41.4,37.85,38.4,582790
2026-05-18 11:25:00+05:30,52.55,54.2,47.0,49.9,1821560
2026-05-18 11:30:00+05:30,42.3,47.3,41.85,47.3,965575
2026-05-18 11:35:00+05:30,53.95,55.35,51.55,54.0,880295
2026-05-18 11:40:00+05:30,68.4,69.15,60.6,60.6,1742455
2026-05-18 11:45:00+05:30,59.25,61.1,58.1,59.65,648440
2026-05-18 11:50:00+05:30,47.65,47.65,45.15,45.3,746135
2026-05-18 11:55:00+05:30,44.05,47.9,43.5,43.5,670995
2026-05-18 12:00:00+05:30,36.15,36.95,35.1,36.0,987415
2026-05-18 12:05:00+05:30,37.15,40.1,37.15,39.55,430300
2026-05-18 12:10:00+05:30,43.0,47.95,42.65,47.9,768300
2026-05-18 12:15:00+05:30,54.0,59.05,54.0,57.4,1493895
2026-05-18 12:20:00+05:30,51.8,52.75,49.1,50.25,588055
2026-05-18 12:25:00+05:30,55.95,60.1,55.95,59.8,1105520
2026-05-18 12:30:00+05:30,62.05,68.15,62.05,66.15,1854905
2026-05-18 12:35:00+05:30,72.95,78.8,71.2,73.8,2284750
2026-05-18 12:40:00+05:30,75.8,75.9,70.0,73.1,1851265
2026-05-18 12:45:00+05:30,68.7,69.0,64.55,65.45,576095
2026-05-18 12:50:00+05:30,65.4,69.1,65.1,66.55,603525
2026-05-18 12:55:00+05:30,72.25,81.45,72.2,79.45,1559350
2026-05-18 13:00:00+05:30,94.1,100.4,91.35,92.35,3745430
2026-05-18 13:05:00+05:30,95.25,96.15,85.95,86.65,2280200
