timestamp,open,high,low,close,volume
2026-05-19 09:15:00+05:30,6.85,8.45,2.8,3.4,21404500
2026-05-19 09:20:00+05:30,3.4,3.4,2.75,2.9,9447295
2026-05-19 09:25:00+05:30,2.95,3.0,2.75,2.75,6693245
2026-05-19 09:30:00+05:30,2.75,4.05,2.6,4.05,8533785
2026-05-19 09:35:00+05:30,3.9,4.95,3.8,4.3,3141450
2026-05-19 09:40:00+05:30,2.85,2.85,2.6,2.6,1300650
2026-05-19 09:45:00+05:30,2.25,3.1,2.2,2.8,6016270
2026-05-19 09:50:00+05:30,2.7,2.85,2.55,2.55,950170
2026-05-19 09:55:00+05:30,2.65,3.0,2.6,2.8,721500
2026-05-19 10:00:00+05:30,3.15,3.15,2.55,2.6,1353560
2026-05-19 10:05:00+05:30,2.5,2.55,2.15,2.2,733720
2026-05-19 10:10:00+05:30,2.2,2.2,1.9,2.1,6288750
2026-05-19 10:15:00+05:30,2.05,2.35,2.0,2.35,4548765
2026-05-19 10:20:00+05:30,2.3,2.35,1.9,1.9,2663700
2026-05-19 10:25:00+05:30,1.95,2.05,1.85,1.9,3136705
2026-05-19 10:30:00+05:30,1.9,2.1,1.75,2.05,4191330
2026-05-19 10:35:00+05:30,2.0,2.15,1.95,1.95,2209155
2026-05-19 10:40:00+05:30,2.0,2.1,1.8,1.95,2388620
2026-05-19 10:45:00+05:30,1.95,2.1,1.9,2.0,2809300
2026-05-19 10:50:00+05:30,2.05,2.35,1.9,1.95,5766540
2026-05-19 10:55:00+05:30,1.9,1.95,1.7,1.75,4327895
2026-05-19 11:00:00+05:30,1.8,1.85,1.6,1.75,3398655
2026-05-19 11:05:00+05:30,1.75,1.9,1.65,1.75,2998775
2026-05-19 11:10:00+05:30,1.7,2.0,1.6,1.85,4288895
2026-05-19 11:15:00+05:30,1.9,2.1,1.75,2.05,3989310
